split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000175,acc00072,番薯甜點 菓匠右門,菓匠右門,油,-110,JPY,-22.275,2026-04-19 16:00:49,2026-04-19 16:00:49
spl000176,acc00072,番薯甜點 菓匠右門,菓匠右門,瓜,-110,JPY,-22.275,2026-04-19 16:00:49,2026-04-19 16:00:49
spl000177,acc00073,龜屋榮泉,龜屋榮泉,油,-2440,JPY,-494.1,2026-04-19 21:16:06,2026-04-19 21:16:06
spl000178,acc00073,龜屋榮泉,龜屋榮泉,瓜,-400,JPY,-81,2026-04-19 21:16:06,2026-04-19 21:16:06
spl000179,acc00074,Seria SEIYU Hirai Shop,Seria百元店,油,-1100,JPY,-222.75,2026-04-19 21:19:34,2026-04-19 21:19:34
spl000180,acc00074,Seria SEIYU Hirai Shop,Seria百元店,瓜,-660,JPY,-133.65,2026-04-19 21:19:34,2026-04-19 21:19:34
spl000181,acc00075,ワイズマート平井店,Y's mart 生魚片盛宴,油,-2464,JPY,-498.96,2026-04-19 21:30:01,2026-04-19 21:30:01
spl000182,acc00075,ワイズマート平井店,Y's mart 生魚片盛宴,瓜,-1871,JPY,-378.8775,2026-04-19 21:30:01,2026-04-19 21:30:01
spl000183,acc00076,,購買西瓜卡儲值,油,0,JPY,0,2026-04-20 7:01:47,2026-04-20 7:01:47
spl000184,acc00076,,購買西瓜卡儲值,瓜,-1000,JPY,-202.5,2026-04-20 7:01:47,2026-04-20 7:01:47
spl000227,acc00100,Fashion Center Shimamura Asakusa ROX · 3G shop,思夢樂荷包失血,油,-3670,JPY,-743.175,2026-04-22 10:30:48,2026-04-22 10:30:48
spl000228,acc00100,Fashion Center Shimamura Asakusa ROX · 3G shop,思夢樂荷包失血,瓜,-11490,JPY,-2326.725,2026-04-22 10:30:48,2026-04-22 10:30:48
spl000229,acc00101,Fashion Center Shimamura Asakusa ROX · 3G shop,[回饋] (acc00100) 思夢樂荷包失血,油,46.0485,TWD,46.0485,2026-04-22 10:30:48,2026-04-22 10:30:48
spl000230,acc00018,餃子的王將 平井站南口店,餃子王將午餐,油,-473,JPY,-95.7825,2026-04-22 17:22:21,2026-04-22 17:22:21
spl000231,acc00018,餃子的王將 平井站南口店,餃子王將午餐,瓜,-473,JPY,-95.7825,2026-04-22 17:22:21,2026-04-22 17:22:21
spl000232,acc00022,SEIYU Hirai,西友超市有夠多人,油,-1740,JPY,-352.35,2026-04-22 17:23:37,2026-04-22 17:23:37
spl000233,acc00022,SEIYU Hirai,西友超市有夠多人,瓜,-1093,JPY,-221.3325,2026-04-22 17:23:37,2026-04-22 17:23:37
spl000234,acc00102,SEIYU Hirai,[回饋] (acc00022) 西友超市有夠多人,油,5.736825,TWD,5.736825,2026-04-22 17:23:37,2026-04-22 17:23:37
spl000235,acc00026,ワイズマート平井店,Y’smart 超市,油,-1151,JPY,-233.0775,2026-04-22 17:24:08,2026-04-22 17:24:08
spl000236,acc00026,ワイズマート平井店,Y’smart 超市,瓜,-289,JPY,-58.5225,2026-04-22 17:24:08,2026-04-22 17:24:08
spl000237,acc00103,ワイズマート平井店,[回饋] (acc00026) Y’smart 超市,油,2.916,TWD,2.916,2026-04-22 17:24:08,2026-04-22 17:24:08
spl000240,acc00105,,櫻花卡儲值,油,0,JPY,0,2026-04-23 10:07:38,2026-04-23 10:07:38
spl000241,acc00105,,櫻花卡儲值,瓜,-1000,JPY,-202.5,2026-04-23 10:07:38,2026-04-23 10:07:38
spl000242,acc00106,忍野八海,忍野八海小章魚,油,-1000,JPY,-202.5,2026-04-23 14:07:20,2026-04-23 14:07:20
spl000243,acc00106,忍野八海,忍野八海小章魚,瓜,0,JPY,0,2026-04-23 14:07:20,2026-04-23 14:07:20
spl000244,acc00090,Tobu Hotel Levant Tokyo,Go 計程車,油,-1990,JPY,-402.975,2026-04-26 8:32:34,2026-04-26 8:32:34
spl000245,acc00090,Tobu Hotel Levant Tokyo,Go 計程車,瓜,-1990,JPY,-402.975,2026-04-26 8:32:34,2026-04-26 8:32:34
spl000246,acc00107,Tobu Hotel Levant Tokyo,[回饋] (acc00090) Go 計程車,油,12.08925,TWD,12.08925,2026-04-26 8:32:34,2026-04-26 8:32:34
spl000247,acc00108,東京國際機場(羽田機場),機場利木津巴士,油,-1200,JPY,-243,2026-04-26 8:33:29,2026-04-26 8:33:29
spl000248,acc00108,東京國際機場(羽田機場),機場利木津巴士,瓜,-1200,JPY,-243,2026-04-26 8:33:29,2026-04-26 8:33:29
spl000249,acc00109,東京國際機場(羽田機場),[回饋] (acc00108) 機場利木津巴士,油,7.29,TWD,7.29,2026-04-26 8:33:29,2026-04-26 8:33:29
spl000250,acc00092,Tobu Hotel Levant Tokyo,7-11早餐,油,-213,JPY,-43.1325,2026-04-26 8:34:15,2026-04-26 8:34:15
spl000251,acc00092,Tobu Hotel Levant Tokyo,7-11早餐,瓜,0,JPY,0,2026-04-26 8:34:15,2026-04-26 8:34:15
spl000252,acc00110,Tobu Hotel Levant Tokyo,[回饋] (acc00092) 7-11早餐,油,0.6469875,TWD,0.6469875,2026-04-26 8:34:15,2026-04-26 8:34:15
spl000253,acc00094,Tobu Hotel Levant Tokyo,7-11早餐,油,0,JPY,0,2026-04-26 8:35:04,2026-04-26 8:35:04
spl000254,acc00094,Tobu Hotel Levant Tokyo,7-11早餐,瓜,-138,JPY,-27.945,2026-04-26 8:35:04,2026-04-26 8:35:04
spl000255,acc00095,東京國際機場(羽田機場),機場書店集章冊（油）,油,-740,JPY,-149.85,2026-04-26 8:35:34,2026-04-26 8:35:34
spl000256,acc00095,東京國際機場(羽田機場),機場書店集章冊（油）,瓜,0,JPY,0,2026-04-26 8:35:34,2026-04-26 8:35:34
